Delta,Smoothness GP,Smoothness BNN

0.05,0.0002706295678515868,0.0038738130787250896
0.1,0.0005830503470129645,0.012599382416336654
0.25,0.0003755881922003681,0.003966998485218629
0.5,0.0008021883827398055,0.00013322873298467154
0.75,0.0006933824157463474,0.0001738615095669983
1,0.0007464106495022826,0.00532342936601009
