Delta,Avg. Obstacle Dist GP,Avg. Obstacle Dist BNN

0.05,1.0945683717727661,8.601590156555176
0.1,1.1233925819396973,75.49170684814453
0.25,1.158894658088684,4.898292064666748
0.5,1.0970065593719482,1.0962430238723755
0.75,1.0592983961105347,1.1100205183029175
1,1.1378458738327026,38.10904312133789
