
3,250,13.88888888888889,58.8235294117647,35.714285714285715
3,500,50.0,41.666666666666664,15.625
3,1000,45.45454545454546,35.714285714285715,14.492753623188404
5,250,26.315789473684212,45.45454545454546,41.666666666666664
5,500,50.0,29.41176470588235,27.77777777777778
5,1000,40.0,43.47826086956522,15.15151515151515
10,250,23.255813953488374,55.55555555555556,35.714285714285715
10,500,41.666666666666664,41.666666666666664,24.390243902439025
10,1000,35.714285714285715,41.666666666666664,13.513513513513514
15,250,13.698630136986303,41.666666666666664,22.72727272727273
15,500,34.48275862068965,41.666666666666664,24.390243902439025
15,1000,38.46153846153846,40.0,16.949152542372882
