Num samples,Avg. Obs Dist MPPI,Avg. Obs Dist GP,Avg. Obs Dist BNN

100,2.7452125549316406,2.9138643741607666,nan
250,2.7628204822540283,2.841996908187866,90.30390167236328
500,2.7644054889678955,2.8517181873321533,4.147887706756592
750,2.7546942234039307,2.6313626766204834,16.848371505737305
1000,2.758434534072876,2.8771450519561768,2.9558732509613037
1250,2.751812696456909,2.8924038410186768,2.8826663494110107
1500,2.7755300998687744,2.9115288257598877,58.421783447265625
