Num samples,Smoothness MPPI,Smoothness GP,Smoothness BNN

100,2.0917249261887708e-05,0.0029020506557868933,nan
250,2.0795099172289077e-05,0.0006837535337157331,0.010190519384623871
500,1.8735213255370722e-05,0.00101215531290893,0.0033431054737567407
750,2.0484163649656776e-05,0.0009980215790956622,0.003216556731519965
1000,1.548424009144885e-05,0.0006934699894305479,0.0006944001980769368
1250,1.5936712921955907e-05,0.0020567715289034998,0.0003993174955670499
1500,2.0594420228334758e-05,0.0005161208658706328,0.005037643709829993
