Num samples,Avg. Computation Time MPPI,Avg. Computation Time GP,Avg. Computation Time BNN

100,33.0,66.0,20.0
250,22.0,87.0,26.0
500,27.0,143.0,26.0
750,26.0,246.0,30.0
1000,27.0,385.0,31.0
1250,30.0,633.0,36.0
1500,29.0,728.0,44.0
