Num samples,Rejection Rate MPPI,Rejection Rate GP,Rejection Rate BNN

100,54.3812375249501,87.97804391217565,43.78043912175649
250,145.2554890219561,227.5249500998004,118.15768463073853
500,271.20758483033933,450.83433133732535,217.01596806387226
750,396.1337325349301,682.8443113772455,399.4510978043912
1000,562.5329341317365,933.8483033932135,462.72255489021956
1250,687.3493013972056,1153.2295409181636,621.2934131736527
1500,879.5668662674651,1370.2894211576847,841.4331337325349
