Num samples,Total Duration MPPI,Total Duration GP,Total Duration BNN

100,15.017709970474243,31.87491798400879,15.264687776565552
250,14.57241702079773,40.07044267654419,15.13309121131897
500,14.945565223693848,68.97988820075989,15.356077909469604
750,15.404528379440308,117.88821482658386,15.6118004322052
1000,15.109553575515747,182.6306130886078,15.994560956954956
1250,14.768967866897583,264.113972902298,15.196812868118286
1500,16.520445585250854,360.5775189399719,18.963136434555054
