Num samples,Rejection Rate MPPI,Rejection Rate GP,Rejection Rate BNN
100,80.86826347305389,96.8942115768463,74.24550898203593
250,211.8243512974052,239.26147704590818,220.72255489021956
500,428.72055888223554,496.7065868263473,442.43512974051896
750,643.4570858283433,718.9860279441118,566.3612774451097
1000,862.8023952095808,991.1996007984031,827.4690618762475
1250,1071.493013972056,1241.1536926147705,1082.4471057884232
1500,1299.748502994012,1485.9800399201597,1294.4530938123753
