Num samples,Avg. Obs Dist MPPI,Avg. Obs Dist GP,Avg. Obs Dist BNN

100,2.049532175064087,3.0779170989990234,81.87052917480469
250,2.054384469985962,3.132322072982788,2.9020893573760986
500,2.0520198345184326,2.7548112869262695,2.603395462036133
750,2.049504280090332,2.5839788913726807,2.653379440307617
1000,2.0483648777008057,2.814425230026245,2.8719263076782227
1250,2.0506937503814697,2.9496679306030273,2.875762701034546
1500,2.0502636432647705,2.8119325637817383,2.703514814376831
