Num samples,Smoothness MPPI,Smoothness GP,Smoothness BNN
100,2.9097621853039666e-05,0.00653986161017488,nan
250,2.5408483109799877e-05,0.00799177538365766,0.021463297845266432
500,3.105943963617704e-05,0.0041002611302106765,0.005118137075800683
750,2.9596878370868234e-05,0.005763802706702403,0.0018547196541795956
1000,2.3526644531076837e-05,0.0009636929598326731,0.0012544896683916494
1250,2.5763896156409545e-05,0.0007627616915728338,0.00022689325034344716
1500,2.6809916399017136e-05,0.0007683645941596581,0.0006373578380172115
