
3,circle,2.052534818649292,nan,2.6778573989868164
3,diagonal,4.476257801055908,nan,4.4626078605651855
3,sine,2.7697513103485107,nan,2.736234426498413
5,circle,3.516186237335205,nan,3.5155444145202637
5,diagonal,4.475842475891113,nan,4.461204528808594
5,sine,6.218377590179443,nan,6.262870788574219
10,circle,2.052469253540039,nan,8.601361274719238
10,diagonal,4.4235148429870605,nan,4.436514854431152
10,sine,2.7781565189361572,nan,2.777540445327759
15,circle,2.0521914958953857,nan,2.3078196048736572
15,diagonal,2.0463521480560303,nan,2.082534074783325
15,sine,2.7824246883392334,nan,nan
