
3,circle,25.0,45.45454545454546,27.027027027027028
3,diagonal,43.47826086956522,43.47826086956522,27.77777777777778
3,sine,45.45454545454546,45.45454545454546,27.027027027027028
5,circle,23.255813953488374,18.181818181818183,23.255813953488374
5,diagonal,20.0,45.45454545454546,27.77777777777778
5,sine,29.41176470588235,38.46153846153846,19.23076923076923
10,circle,27.027027027027028,50.0,20.0
10,diagonal,33.333333333333336,50.0,27.77777777777778
10,sine,43.47826086956522,41.666666666666664,28.57142857142857
15,circle,14.925373134328357,37.03703703703704,27.027027027027028
15,diagonal,35.714285714285715,50.0,21.73913043478261
15,sine,43.47826086956522,43.47826086956522,24.390243902439025
