
3,circle,0,0,0
3,diagonal,36,18,30
3,sine,63,21,60
5,circle,0,0,0
5,diagonal,60,30,50
5,sine,25,35,25
10,circle,0,0,0
10,diagonal,130,60,100
10,sine,210,70,200
15,circle,0,0,15
15,diagonal,795,90,720
15,sine,315,105,75
