
3,circle,12.814428567886353,12.877580642700195,27.036712646484375
3,diagonal,12.942381858825684,12.843770265579224,28.681727647781372
3,sine,13.256457805633545,13.155297994613647,26.965924501419067
5,circle,15.34070611000061,14.693449258804321,29.29715919494629
5,diagonal,13.4075448513031,13.644842863082886,39.60803699493408
5,sine,14.326123237609863,13.489209651947021,27.639168977737427
10,circle,12.580875158309937,12.235642910003662,27.017927408218384
10,diagonal,12.125847816467285,12.657095432281494,27.903990507125854
10,sine,12.164273262023926,13.586709976196289,27.94693160057068
15,circle,13.347312927246094,12.395151376724243,28.12505030632019
15,diagonal,13.094508409500122,14.951675176620483,30.16683554649353
15,sine,12.289509773254395,12.515940189361572,28.593387365341187
